YEAR,RK,TEAM,HOME GMS,HOME TOTAL,HOME AVG,HOME PCT,ROAD GMS,ROAD AVG,ROAD PCT,OVERALL GMS,OVERALL AVG,OVERALL PCT
2022,1,Bulls,41,"856,148","20,881",,41,"18,198",4044.2,82,"19,556",8800.6
2022,2,76ers,41,"846,867","20,655",,41,"16,589",3778.8,82,"18,622",8483.6
2022,3,Heat,41,"804,761","19,628",,41,"17,294",3843.3,82,"18,476",8314.2
2022,4,Mavericks,41,"809,315","19,739",,41,"17,092",1946.6,82,"18,415",4194.7
2022,5,Lakers,41,"764,631","18,649",,41,"18,179",2070.5,82,"18,414",4194.5
2022,6,Celtics,41,"766,240","19,156",,41,"17,583",4005.2,82,"18,360",8262.1
2022,7,NY Knicks,41,"763,484","18,621",,41,"17,722",3938.4,82,"18,177",8180
2022,8,Warriors,41,"740,624","18,064",,41,"18,111",2012.4,82,"18,087",4069.7
2022,9,Raptors,41,"547,343","18,873",,41,"17,233",3925.4,82,"17,913",6966.2
2022,10,Cavaliers,41,"758,228","18,493",,41,"17,134",3902.9,82,"17,813",8115.2
2022,11,Jazz,41,"750,546","18,306",,41,"16,898",3755.2,82,"17,610",7924.9
2022,12,Bucks,41,"715,581","17,453",,41,"17,656",4021.8,82,"17,555",7997.3
2022,13,Nets,41,"711,539","17,354",,41,"17,456",3976.3,82,"17,405",7929.3
2022,14,Hornets,41,"700,755","17,091",,41,"17,503",3889.6,82,"17,294",7782.7
2022,15,Suns,41,"679,252","16,567",,41,"17,403",1933.7,82,"16,979",3820.5
2022,16,Clippers,41,"694,005","16,926",94,41,"16,910",,82,"16,918",185.7
2022,17,Nuggets,41,"695,262","16,957",,41,"16,864",1873.9,82,"16,911",3805.2
2022,18,Trail Blazers,41,"705,608","17,209",,41,"16,559",1840,82,"16,888",3800
2022,19,Grizzlies,41,"646,785","15,775",,41,"17,740",2020.4,82,"16,757",3817.1
2022,20,Hawks,41,"672,742","16,408",,41,"17,073",3794.1,82,"16,736",7531.5
2022,21,Pistons,41,"663,556","16,184",,41,"16,752",3815.9,82,"16,468",7502.4
2022,22,Timberwolves,41,"657,148","16,028",,41,"16,811",1914.7,82,"16,419",3740.1
2022,23,Wizards,41,"637,215","15,541",,41,"16,939",3764.3,82,"16,231",7304.4
2022,24,Magic,41,"622,881","15,192",,41,"17,062",3886.5,82,"16,127",7347
2022,25,Rockets,41,"638,977","15,584",,41,"16,655",3793.7,82,"16,120",7343.6
2022,26,Pelicans,41,"635,941","15,510",,41,"16,727",1812.1,82,"16,103",3578.6
2022,27,Spurs,41,"615,588","15,014",,41,"16,939",1882.2,82,"15,965",3592.2
2022,28,Thunder,41,"595,112","14,877",,41,"16,638",1894.9,82,"15,768",3548
2022,29,Pacers,41,"588,743","14,359",,41,"16,794",3825.4,82,"15,577",7096.2
2022,30,Kings,41,"577,583","14,439",,41,"16,598",1890.4,82,"15,532",3494.8
