,team,year,overall wins,overall losses,home wins,home losses,road wins,road losses
119,Dallas Mavericks,2005,60,22,34,7,26,15
120,Phoenix Suns,2005,54,28,31,10,23,18
121,Miami Heat,2005,52,30,31,10,21,20
122,Cleveland Cavaliers,2005,50,32,31,10,19,22
123,Memphis Grizzlies,2005,49,33,30,11,19,22
124,New Jersey Nets,2005,49,33,29,12,20,21
125,Los Angeles Clippers,2005,47,35,27,14,20,21
126,Los Angeles Lakers,2005,45,37,27,14,18,23
127,Denver Nuggets,2005,44,38,26,15,18,23
128,Sacramento Kings,2005,44,38,27,14,17,24
129,Washington Wizards,2005,42,40,27,14,15,26
130,Chicago Bulls,2005,41,41,21,20,20,21
131,Indiana Pacers,2005,41,41,27,14,14,27
132,Utah Jazz,2005,41,41,22,19,19,22
133,Milwaukee Bucks,2005,40,42,25,16,15,26
134,New Orleans/Oklahoma City Hornets,2005,38,44,24,17,14,27
135,Philadelphia 76ers,2005,38,44,23,18,15,26
136,Orlando Magic,2005,36,46,26,15,10,31
137,Seattle SuperSonics,2005,35,47,22,19,13,28
138,Golden State Warriors,2005,34,48,21,20,13,28
139,Houston Rockets,2005,34,48,15,26,19,22
140,Boston Celtics,2005,33,49,21,20,12,29
141,Minnesota Timberwolves,2005,33,49,24,17,9,32
142,Toronto Raptors,2005,27,55,15,26,12,29
143,Atlanta Hawks,2005,26,56,18,23,8,33
144,Charlotte Bobcats,2005,26,56,17,24,9,32
145,New York Knicks,2005,23,59,15,26,8,33
146,Portland Trail Blazers,2005,21,61,15,26,6,35
147,Dallas Mavericks,2006,67,15,36,5,31,10
148,Phoenix Suns,2006,61,21,33,8,28,13
149,San Antonio Spurs,2006,58,24,31,10,27,14
150,Detroit Pistons,2006,53,29,26,15,27,14
151,Houston Rockets,2006,52,30,28,13,24,17
152,Utah Jazz,2006,51,31,31,10,20,21
153,Cleveland Cavaliers,2006,50,32,30,11,20,21
154,Chicago Bulls,2006,49,33,31,10,18,23
155,Toronto Raptors,2006,47,35,30,11,17,24
156,Denver Nuggets,2006,45,37,23,18,22,19
157,Miami Heat,2006,44,38,27,14,17,24
158,Golden State Warriors,2006,42,40,30,11,12,29
159,Los Angeles Lakers,2006,42,40,25,16,17,24
160,New Jersey Nets,2006,41,41,24,17,17,24
161,Washington Wizards,2006,41,41,26,15,15,26
162,Orlando Magic,2006,40,42,25,16,15,26
163,Los Angeles Clippers,2006,40,42,25,16,15,26
164,New Orleans/Oklahoma City Hornets,2006,39,43,24,17,15,26
165,Indiana Pacers,2006,35,47,22,19,13,28
166,Philadelphia 76ers,2006,35,47,21,20,14,27
167,Charlotte Bobcats,2006,33,49,20,21,13,28
168,New York Knicks,2006,33,49,19,22,14,27
169,Sacramento Kings,2006,33,49,20,21,13,28
170,Minnesota Timberwolves,2006,32,50,20,21,12,29
171,Portland Trail Blazers,2006,32,50,18,23,14,27
172,Seattle SuperSonics,2006,31,51,20,21,11,30
173,Atlanta Hawks,2006,30,52,18,23,12,29
174,Milwaukee Bucks,2006,28,54,18,23,10,31
175,Boston Celtics,2006,24,58,12,29,12,29
176,Memphis Grizzlies,2006,22,60,14,27,8,33
177,Boston Celtics,2007,66,16,35,6,31,10
178,Detroit Pistons,2007,59,23,34,7,25,16
179,Los Angeles Lakers,2007,57,25,30,11,27,14
180,New Orleans Hornets,2007,56,26,30,11,26,15
181,San Antonio Spurs,2007,56,26,34,7,22,19
182,Houston Rockets,2007,55,27,31,10,24,17
183,Phoenix Suns,2007,55,27,30,11,25,16
184,Utah Jazz,2007,54,28,37,4,17,24
185,Orlando Magic,2007,52,30,25,16,27,14
186,Dallas Mavericks,2007,51,31,34,7,17,24
187,Denver Nuggets,2007,50,32,33,8,17,24
188,Golden State Warriors,2007,48,34,27,14,21,20
189,Cleveland Cavaliers,2007,45,37,27,14,18,23
190,Washington Wizards,2007,43,39,25,16,18,23
191,Toronto Raptors,2007,41,41,25,16,16,25
192,Portland Trail Blazers,2007,41,41,28,13,13,28
193,Philadelphia 76ers,2007,40,42,22,19,18,23
194,Sacramento Kings,2007,38,44,26,15,12,29
195,Atlanta Hawks,2007,37,45,25,16,12,29
196,Indiana Pacers,2007,36,46,21,20,15,26
197,New Jersey Nets,2007,34,48,21,20,13,28
198,Chicago Bulls,2007,33,49,20,21,13,28
199,Charlotte Bobcats,2007,32,50,21,20,11,30
200,Milwaukee Bucks,2007,26,56,19,22,7,34
201,Los Angeles Clippers,2007,23,59,13,28,10,31
202,New York Knicks,2007,23,59,15,26,8,33
203,Memphis Grizzlies,2007,22,60,14,27,8,33
204,Minnesota Timberwolves,2007,22,60,15,26,7,34
205,Seattle SuperSonics,2007,20,62,13,28,7,34
206,Miami Heat,2007,15,67,9,32,6,35
207,Cleveland Cavaliers,2008,66,16,39,2,27,14
208,Los Angeles Lakers,2008,65,17,36,5,29,12
209,Boston Celtics,2008,62,20,35,6,27,14
210,Orlando Magic,2008,59,23,32,9,27,14
211,Denver Nuggets,2008,54,28,33,8,21,20
212,Portland Trail Blazers,2008,54,28,34,7,20,21
213,San Antonio Spurs,2008,54,28,28,13,26,15
214,Houston Rockets,2008,53,29,33,8,20,21
215,Dallas Mavericks,2008,50,32,32,9,18,23
216,New Orleans Hornets,2008,49,33,28,13,21,20
217,Utah Jazz,2008,48,34,33,8,15,26
218,Atlanta Hawks,2008,47,35,31,10,16,25
219,Phoenix Suns,2008,46,36,28,13,18,23
220,Miami Heat,2008,43,39,28,13,15,26
221,Chicago Bulls,2008,41,41,28,13,13,28
222,Philadelphia 76ers,2008,41,41,24,17,17,24
223,Detroit Pistons,2008,39,43,21,20,18,23
224,Indiana Pacers,2008,36,46,25,16,11,30
225,Charlotte Bobcats,2008,35,47,23,18,12,29
226,Milwaukee Bucks,2008,34,48,22,19,12,29
227,New Jersey Nets,2008,34,48,19,22,15,26
228,Toronto Raptors,2008,33,49,18,23,15,26
229,New York Knicks,2008,32,50,20,21,12,29
230,Golden State Warriors,2008,29,53,21,20,8,33
231,Memphis Grizzlies,2008,24,58,16,25,8,33
232,Minnesota Timberwolves,2008,24,58,11,30,13,28
233,Oklahoma City Thunder,2008,23,59,15,26,8,33
234,Los Angeles Clippers,2008,19,63,11,30,8,33
235,Washington Wizards,2008,19,63,13,28,6,35
236,Sacramento Kings,2008,17,65,11,30,6,35
237,Cleveland Cavaliers,2009,61,21,35,6,26,15
238,Orlando Magic,2009,59,23,34,7,25,16
