YEAR,RK,TEAM,HOME GMS,HOME TOTAL,HOME AVG,HOME PCT,ROAD GMS,ROAD AVG,ROAD PCT,OVERALL GMS,OVERALL AVG,OVERALL PCT
2017,1,Bulls,41,"888,882","21,680",,41,"18,033",4107.6,82,"19,856",9045.8
2017,2,Cavaliers,41,"843,042","20,562",,41,"19,021",4332.7,82,"19,791",9016.2
2017,3,Warriors,41,"803,436","19,596",,41,"19,015",2165.6,82,"19,305",4397.4
2017,4,Raptors,41,"813,050","19,830",,41,"17,925",4083.1,82,"18,878",8600
2017,5,NY Knicks,41,"810,741","19,774",,41,"17,927",4083.5,82,"18,850",8587.6
2017,6,Heat,41,"805,400","19,643",,41,"17,818",4058.7,82,"18,731",8533.1
2017,7,Mavericks,41,"811,366","19,789",,41,"17,519",1995.3,82,"18,654",4249
2017,8,Lakers,41,"776,917","18,949",,41,"18,191",2071.8,82,"18,570",4229.9
2017,9,Clippers,41,"782,609","19,088",106,41,"17,889",,82,"18,488",205.4
2017,10,Jazz,41,"806,605","19,673",,41,"17,212",1960.3,82,"18,442",4200.9
2017,11,Trail Blazers,41,"792,029","19,317",,41,"17,555",1999.4,82,"18,436",4199.5
2017,12,Celtics,41,"760,690","18,553",,41,"18,313",4171.4,82,"18,433",8397.4
2017,13,Thunder,41,"746,323","18,203",,41,"18,373",2092.6,82,"18,288",4165.7
2017,14,Spurs,41,"755,347","18,423",,41,"18,131",2065,82,"18,277",4163.2
2017,15,Rockets,41,"695,903","16,973",,41,"18,140",2066,82,"17,556",3999.1
2017,16,Kings,41,"721,928","17,608",,41,"17,489",1991.8,82,"17,548",3997.2
2017,17,Magic,41,"727,875","17,753",,41,"17,333",3948.3,82,"17,543",7992
2017,18,Wizards,41,"697,107","17,002",,41,"17,949",4088.5,82,"17,476",7961.3
2017,19,Suns,41,"708,639","17,283",,41,"17,618",2006.6,82,"17,451",3975
2017,20,Hornets,41,"710,643","17,332",,41,"17,563",4000.7,82,"17,448",7948.7
2017,21,Pacers,41,"684,578","16,697",,41,"17,848",4065.5,82,"17,272",7868.7
2017,22,76ers,41,"710,557","17,330",,41,"17,209",3919.8,82,"17,269",7867.4
2017,23,Pelicans,41,"663,099","16,173",,41,"18,062",4114.3,82,"17,118",7798.2
2017,24,Grizzlies,41,"677,314","16,519",,41,"17,655",2010.8,82,"17,087",3892.2
2017,25,Hawks,41,"654,306","15,958",,41,"17,816",4058.2,82,"16,887",7693.3
2017,26,Bucks,41,"648,952","15,828",,41,"17,928",4083.6,82,"16,878",7688.9
2017,27,Pistons,41,"655,141","15,979",,41,"17,699",4031.6,82,"16,839",7671.2
2017,28,Nets,41,"632,608","15,429",,41,"17,755",4044.2,82,"16,592",7558.7
2017,29,Timberwolves,41,"607,203","14,809",,41,"18,113",4125.8,82,"16,461",7499.1
2017,30,Nuggets,41,"605,585","14,770",,41,"17,420",1984,82,"16,095",3666.2
