YEAR,RK,TEAM,HOME GMS,HOME TOTAL,HOME AVG,HOME PCT,ROAD GMS,ROAD AVG,ROAD PCT,OVERALL GMS,OVERALL AVG,OVERALL PCT
2021,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
2021,1,Jazz,36,"151,300","4,450",,36,"3,104",,72,"4,077",
2021,2,Magic,36,"130,712","3,630",,36,"2,954",,72,"3,405",
2021,3,Suns,36,"104,027","3,715",,36,"2,951",,72,"3,397",
2021,4,76ers,36,"68,583","3,810",,36,"2,693",,72,"3,284",
2021,5,Rockets,36,"117,009","3,250",,36,"3,282",,72,"3,259",
2021,6,Mavericks,36,"94,849","3,648",,36,"2,316",,72,"3,140",
2021,7,Trail Blazers,36,"7,756","1,939",,36,"3,420",,72,"3,138",
2021,8,Spurs,36,"61,053","3,052",,36,"3,170",,72,"3,111",
2021,9,Heat,36,0,0,,36,"3,272",,72,"3,108",
2021,10,Nuggets,36,"54,554","3,636",,36,"2,481",234.4,72,"3,023",537.4
2021,11,Hornets,36,"68,255","3,412",,36,"2,475",,72,"2,981",
2021,12,Warriors,36,"33,457","3,041",,36,"2,873",,72,"2,939",
2021,13,Pacers,36,0,0,,36,"3,030",,72,"2,840",
2021,14,Cavaliers,36,"91,476","2,950",,36,"2,616",,72,"2,828",
2021,15,Lakers,36,"23,313","2,331",,36,"3,015",284.8,72,"2,762",414.4
2021,16,Wizards,36,"21,331","2,666",,36,"2,678",,72,"2,675",
2021,17,Pelicans,36,"93,120","2,586",,36,"2,793",,72,"2,662",
2021,18,Kings,36,0,0,,36,"3,007",,72,"2,660",
2021,19,Bucks,36,"64,780","2,591",,36,"2,644",,72,"2,612",
2021,20,Celtics,36,"30,067","2,312",,36,"2,781",,72,"2,607",
2021,21,Clippers,36,"13,901","1,737",9.7,36,"2,932",,72,"2,590",50.4
2021,22,Bulls,36,"13,655","3,413",,36,"2,343",,72,"2,538",
2021,23,Grizzlies,36,"61,449","2,194",,36,"2,928",325.3,72,"2,500",666.7
2021,24,Hawks,36,"59,288","2,195",,36,"2,786",,72,"2,397",
2021,25,NY Knicks,36,"42,131","1,755",,36,"2,803",327.1,72,"2,244",561.2
2021,26,Thunder,36,0,0,,36,"2,463",232.6,72,"2,203",232.6
2021,27,Nets,36,"30,491","1,524",,36,"3,005",,72,"2,182",
2021,28,Raptors,36,"26,024","2,365",,36,"2,046",250.1,72,"2,152",394.7
2021,29,Timberwolves,36,"15,774","1,434",,36,"2,307",96.1,72,"1,937",140
2021,30,Pistons,36,"14,250",647,,36,"2,946",,72,"1,579",
