YEAR,RK,TEAM,HOME GMS,HOME TOTAL,HOME AVG,HOME PCT,ROAD GMS,ROAD AVG,ROAD PCT,OVERALL GMS,OVERALL AVG,OVERALL PCT
2004,1,Pistons,41,"872,902","21,290",96.4,41,"17,127",107.8,82,"19,209",101.2
2004,2,Lakers,41,"777,757","18,969",98.4,41,"19,380",134.4,82,"19,175",113.8
2004,3,Mavericks,41,"825,594","20,136",,41,"17,452",113.6,82,"18,794",244.6
2004,4,Cavaliers,41,"749,790","18,287",88.9,41,"18,755",121.2,82,"18,521",102.8
2004,5,76ers,41,"788,128","19,222",94,41,"17,672",114,82,"18,447",102.6
2004,6,NY Knicks,41,"785,739","19,164",99.4,41,"17,589",109.8,82,"18,376",104.1
2004,7,Bulls,41,"809,177","19,736",90.9,41,"16,517",106.9,82,"18,126",97.6
2004,8,Jazz,41,"785,330","19,154",96.2,41,"16,537",114.9,82,"17,845",104
2004,9,Timberwolves,41,"723,071","17,635",92.8,41,"17,862",123.7,82,"17,749",106.1
2004,10,Spurs,41,"739,706","18,041",97.5,41,"17,347",119.9,82,"17,694",107.4
2004,11,Kings,41,"709,997","17,317",100,41,"17,813",122.7,82,"17,565",110.3
2004,12,Raptors,41,"750,608","18,307",92.5,41,"16,480",105.8,82,"17,394",98.3
2004,13,Nuggets,41,"721,476","17,596",,41,"17,184",111.8,82,"17,390",226.4
2004,14,Pacers,41,"678,326","16,544",90.2,41,"17,710",113.6,82,"17,127",101
2004,15,Rockets,41,"640,794","15,629",84.5,41,"17,768",122.9,82,"16,698",101.3
2004,16,Celtics,41,"664,248","16,201",87,41,"16,955",109.3,82,"16,578",97.1
2004,17,Bucks,41,"690,180","16,833",89.9,41,"16,213",104.1,82,"16,523",96.4
2004,18,Trail Blazers,41,"684,038","16,683",83.5,41,"16,282",113.1,82,"16,483",95.9
2004,19,Suns,41,"670,385","16,350",86,41,"16,461",114,82,"16,406",98.1
2004,20,Clippers,41,"665,396","16,229",,41,"16,258",108.8,82,"16,243",217.3
2004,21,Nets,41,"613,051","14,952",74.8,41,"17,358",111.9,82,"16,155",91
2004,22,Warriors,41,"665,648","16,235",82.9,41,"15,885",110.2,82,"16,060",94.5
2004,23,Thunder,41,"625,474","15,255",91.6,41,"16,842",115.9,82,"16,049",102.9
2004,24,Grizzlies,41,"622,723","15,188",,41,"16,695",108.7,82,"15,941",207.5
2004,25,Heat,41,"624,809","15,239",77.8,41,"16,524",106.5,82,"15,881",90.4
2004,26,Wizards,41,"645,363","15,740",,41,"16,008",96.9,82,"15,874",192.3
2004,27,Magic,41,"589,144","14,369",83.3,41,"16,793",107.5,82,"15,581",94.8
2004,28,Pelicans,41,"587,613","14,332",83.3,41,"16,679",106.6,82,"15,505",94.4
2004,29,Hawks,41,"565,728","13,798",,41,"16,282",98.9,82,"15,040",182.7
